Ward Number,Ward Name,Direction,Description
33,Ward 33,East,Starts from Mettupalayam Road running -wards north ends up – Union Road.
33,Ward 33,South,Starts from Onapalayam Road running -wards east through S.K.R Nagar ends up -Jeeva Nagar (Mettupalayam Road).
33,Ward 33,West,Starts from Jawagar Nagar running -wards south through Nataraj Nagar ends up – N.K.NagarOnapalayam Road.
34,Ward 34,North,Starts from E.B Colony running towards east through Poombugar Nagar . Onapalayam Road ends up to S.K.R Nagar.
34,Ward 34,East,Starts from S.K.R Nagar running towards south through Mettupalayam Road ends up to Jeeva Nagar.
34,Ward 34,South,"Starts from Jeeva Nagar running towards west through K.K.Pudur Road Subbammal La.yout Giri Nagar and,Manjeeswari Colony and ends up to Professor’s Colony."
34,Ward 34,West,"Starts from K.K.Pudur road running towards north through Professor’s Colony, Sowdambigi Nagar, Edayarapalayam Road ends up to E.B. Colony."
35,Ward 35,North,Starts from Periyannan Nagar running towards west through Kannadasan Street new Weavas Colony ends uptoThadagam Road
35,Ward 35,East,Starts from Thadagam Road runnings towards south through Pari Nagar ends up to Edayarapalayam Road
35,Ward 35,South,"Starts from Edayarapatayam Road running towards east through from Corporation Mayanam west, V.O.C Nagar west. coolie Nesavalar Colony and Masani Amman Nagar ends up to Anna Nagar."
35,Ward 35,West,"Starts from Anna Nagar, P.F.Colony running towards north through Lakshmi Nagar• Gandhi Nagar ends up to Vivekanandha Street ,Periyannan Nagar"
36,Ward 36,North,Starts from East side of Edayarpalayam road and runs towards West K.K.R Nagar
36,Ward 36,East,Starts at South side of New Anandha Nagar and runs wards Super Garden- Edayarpalayam junction
36,Ward 36,South,"Starts from West side of AlameluMangai Avenue and runs towards via Thondamuthur road junction,Vadavalli Bus Terminal,Gopalapuram and New Anandha Nagar"
36,Ward 36,West,Starts from North side K.K.R Nagar runs towards South Mangai Avenue
37,Ward 37,North,Starts from East side of Happy Garden and runs towards Westenside of Nalvar Nagar.
37,Ward 37,East,Starts from Marudhamalai Main Road and PerumalKoil Street junction and run towards North side upto Happy Garden.
37,Ward 37,South,Starts from West side of Kalveerampalayam junction and Runs towards East side and ends at PerumalKoil Street junction (Mouthi Hospital Road).
37,Ward 37,West,Starts at Nalvar Nagar and runs towards South side of Thondamuthur road and ends at Kalveerampalayam
38,Ward 38,North,"Starts from East Side of KoothandavarKovil Street and runs towards ArunNagar,Curio Garden,Kalveerampalayam junction and Marudhamalai Main Road."
38,Ward 38,East,Starts from South’ side of MahalakshmiKovil junction and runs towards North-East to KoothandavarKoil Street-Marudhamalai road Junction.
38,Ward 38,South,Starts from West side of Onapalayam and runs towards East to Thondamuthur Road and North side Amman Nagar and ends at Thondamuthur road and MahalakshmiKoil Junction.
38,Ward 38,West,Starts from North side of MarudhamalaiAdivaram and runs towards South upto Taunsa Nagar and Onapalayam.
39,Ward 39,North,Starts from.East Side Of Thondamuthur Road Junction.Maharani Avenue and towards West To Jayalakshmi Nagar.
39,Ward 39,East,Starts from South Side Of Anna Nagar and Runs towards North To Vadavalli-ThondamuthurRoad Junction.
39,Ward 39,South,Starts from West Side Of Sundapalayam and Runs towards East Side To Sathya Colony and Ends At Anna Nagar.
39,Ward 39,West,Starts from North Side Of Jayalakshmi Nagar and Runs towards South To Sundapalayam.
40,Ward 40,North,"Stars from North Side of Selvam Nagar and Runs towards West of Rajiv Gandhi Nagar, V.N.R Nagar and Thondamuthur road Junction and Ends At Vernbu Avenu."
40,Ward 40,East,Starts from Southside of Veerakeralam Junction and Runs towards Veerakeralam Maindhan and Ends at maridharnalai road Selvam Nagar.
40,Ward 40,South,"Starts from West Side of Ragavendra Garden and Runs towards thondarnuthur road Thondamuthur Road, Yeetakeralam Junction."
40,Ward 40,West,"Starts from North Side of Thondamuthur Road , Vembu Avenue Runs towards Siruvani Road and Ends at Ragavendra Garden Junction."
41,Ward 41,North,Starts from Vadavalli Village boundary and north side of Agriculture University field junction runs through agriculture fields up to S.F.Number 462 and turns towards south.
41,Ward 41,East,Starts from agricultureField S.F.Number462 runs towards south along S.F.Number462 up to northern boundary ofGogulamColony S.F.Number402 and turns towards west along north boundary of Gogulam Colony (S.F.Number 403) up toGogulam Colony 4th Street and again turns – towards south up toMaruthamalai Road Junction and turns towards eastalong Northern side or Maruthamalai Road up toJunction of KanuvaiPallam and turns towards southalong the KanuvaiPallamboundary up to S.F.Number 234
41,Ward 41,South,Starts from junction of KanuvaiPallam and eastern boundary of S.F.Number 234 runs towards west alongBharathiar Street up to Nethaji Road Junction. Then turns towards north and runs along the western boundary of Nethaji Road up to Anna statue junction turns towards west along the southern boundary of Anna Statue up to the eastern boundary of S.F.Number 250 and turns towards south along S.F.Number 252 and turns towards west along S.F.Number 252 and 261 up to S.F.Number 276 and turns towards north along S.F.Number 276 and 278 up to S.F.Number 278 and turns towards west and runs up to Veerakeralam Village boundary
41,Ward 41,West,"Starts from East side of Veerakeralam Village boundary and northern side of Ponnusamy Nagar, Jagathesh Nagar Layout runs towards north along Veerakeralam Village boundary up to Thirumalainaickenpalayam Village northern side"
42,Ward 42,North,"Starting from, Sasthri Road, M.G.R Colony junction, towards v.o.c. Nagar Kannapiran, Nagarandavasi Nagar running Thadagam Road, and Sivakamy Nagar Road Junction"
42,Ward 42,East,"Starting from thadagamRoad, Sasthri Street Junction towards Martha konar street thadagam road Dr.Ambthakar Street Junction"
42,Ward 42,South,"Starting from thadagam Road, Dr.Ambathkar Street Junction. Anna Nagar towards thekallur Road Dr.Ambathkar Street Junction"
42,Ward 42,West,"Starting from Dr.Ambathkar Road, thekallur Road Junction to Bharathiyar Street towards Nallammal Street, Sasthri Street"
43,Ward 43,North,"Starting from ThadagamRoad , Simson Nagar Junction , towards K.K.Pudur Road and Kalyani Nagar RuningK.K.PudurmaniamVellappar Street"
43,Ward 43,East,Starting from K.k.pudurManiamVellappar Street towards ManiamMaruthakutty Junction
43,Ward 43,South,"Starting from ManiamVellappar Street, Maniam Maruthakutty street Junction towardsK.G.Layout RuningThadagam road Ramasamy Street"
43,Ward 43,West,Starting from Thadagam Road Ramasamy Street Junction towards Thadagam Road running Junction towards Thadagam Road Runing K.K.Pudur Junction.
44,Ward 44,North,"Starting from Thadagam Road Ramasamy Street Junction , towards K.G.Layout Runs Maniam Maruthakutty Street, ManiamVellappar Street Junction."
44,Ward 44,East,"Starting from Maniam Maruthakutty Street, Mani Vellappar Street.. -zoward Alagannan Street Runing NSR Road Junction"
44,Ward 44,South,"Starting from NSR Road , Alagannan Street towards N SR Road RuningThadagam Road"
44,Ward 44,West,"Startinmg from NSR Road, Thadagam Road towardsRamasamy Street, Runir,gThadagam Road Junction"
45,Ward 45,North,Starts from Mania’mvellappan Street Junction Jeeva Street Runs To Mtp Road (IRF Sandhu).
45,Ward 45,East,"Starts from Mtp Road (IRF Sandhu), towards Karunanithi Nagar Runs Mtp Road SaibabaKovil."
45,Ward 45,South,Starts from Mtp Road Sai Baba Kovil (NSR Road) Junction Toward Alilgannan Street Runs NSR Road Junction.
45,Ward 45,West,Starts from Alaganna Street NSR Road Junction Runs ManianVellappan Street K.K.Pudur Road ManianVellappan Street.
46,Ward 46,North,from Mettupalayam Road Railway track SF No.162 to North East direction via Railway track Rathinapuri till Sastri Street then turn to East till Nehru Street.
46,Ward 46,East,from Coimbatore Chennai Ratlway track Mathiazt1″a.Qan-Stf8et East Junctioi1 to South via Nehru Street till Sampath Street.
46,Ward 46,South,from Sanganoor Pallam Sampath Street Junction to West till Sastri Street. including Sastri Street to North West direction till 105 Feet Bridge then turn West till Kozhikooe to Chennai railway track.
46,Ward 46,West,from Sanganoor Pallam Sampath Street Junction to West till Sastri Street. including Sastri Street to North West direction till 105 Feet Bridge then turn West till Kozhikooe to Chennai railway track.
47,Ward 47,North,Junction of Coimbatore to Chennai Railway track towards Chekkan Thottam Road till Muthukumar Layout Road Junction.
47,Ward 47,East,"Junction of Ganapathy” Main road Coimbatore to Chennai Railway track to·H,.11ds South till Sanganoor Pallam."
47,Ward 47,South,from Junction of Sanganoor Pallam at Ganapathy Main Road towards West via Sanganoor Paffam till Gandhipuram 7th Street Extension Bridge and Amarar Jeeva- Street till Sampath Street’.
47,Ward 47,West,Starting from Sanganoor Pallam towards North of Sampath Street till Coimbatore to Chennai Railway track.
48,Ward 48,North,from Sanganoor Pallam at Sathy road towards East Sanganoor Pallam via South bund upto Ramakrishna Kalyana Mandapam.
48,Ward 48,East,"Aerimedu and Parameshwarar Layout Junction towards South Parameswarn Layout West boundary, SNR Scheme Road New bridge to South till Avinashi Road Junction."
48,Ward 48,South,from V.K.K Menon Road Bharathiyar Road Junction towards West till South end of Sathy Road Bharathiyar Road Junction then Southern side of Ponne Street towards West till Gandhipuram 4th Street.
48,Ward 48,West,from Ponne Street Gandhipuram 4th Street West Portion towards North. Starting of SF No. 161 to Northern side of Church near Sanganoor Pallam Northern boundary.
49,Ward 49,North,"from Balasundaram Road and NG Ramasamy Road junction towards East NG Ramasamy Road (North side) till Nethaji Road again towards North GKT, GKS Nagar via Southern boundary upto Parameswaran Pillai Street again towards North upto Aeri Medu Sanganoor Pallam then Aerimedu Parameswarwan Layout Sanganoor Pallam SNR Scheme Road New bridge to towards South Sanganoor Pallam Junction of Avinashi road."
49,Ward 49,East,from Balasundaram Road and NG Ramasamy Road junction towards East NG Ramasamy Road (North side) till Nethaji Road again towards North GKT. GKS Nagar via Southern boundary upto Parameswaran Pillai Street again towards North upio AerimeC:u Sanganoor Pallam then Aerimedu Parameswarwan Layout Sanganoor Pallam SNR Scheme Road New bridge to towards South Sanganoor Pallam Junction of Avinashi road.
49,Ward 49,South,from AvinastJi Road Nava India Road Junction to Avinashi Road Lakshmi mills Junction.
49,Ward 49,West,from Avinashi Road Lakshmi mills Junction to North via Bharathiyar Road turn towards West upto Avarampalayam Road Junction.
50,Ward 50,North,"Starts from Sanganoor Pallam Near Avinashi Road EB office towards East via Avinashi Road up to Channel Near, Peelamedu Pudur, Avinashi Road Junction."
50,Ward 50,East,"Starts from Channel Near Peelamedu pudur Avinashi Road Junction towards South via Channel Boundary up to Sowripalayam Annai Velankanni Nagar via Western Boundary of Rajiv Gandhi Nagar, Western Boundary of TNHB, RVL Colony up to VGM Hospital Road and Trichy Road Junction."
50,Ward 50,South,"VGM Hospital Road and Trichy Road Junction towards West via Alvernia School, Trichy Road up to Sanganoor Pallam."
50,Ward 50,West,Starts at Trichy Road Near Alvernia School Sanganoor Pallam toward North via Sowripalayam Road Western Boundary of Meena Estate up to Sanganoor Pallam Near Avinashi Road EB Office.
51,Ward 51,North,from Channel Near Peelamedu pudur and Avinashi Road Junction towards East via Avinashi Road upto Mas.akalipalayam Road Junction
51,Ward 51,East,from Avinashi Road Masakkalipalayam Road Junction towards South via Masakkalipalaym Road Crossing Periyar Nagar upto South Street and West Street Junction
51,Ward 51,South,"from South Street and West Street Junction towards West Crossing Funmall Road, towards West via Southern Boundary of PSG Hospital Crossing Sowripalayam Road, towards west upto Eastern Boundary of Chandragandhi Nagar then towards South via Eastern Boundary of Chandragandhi Nagar and along the Boundary of Kavetti Naidu Layout, via R.K.Garden, Gunc;Jukinar Thottam, Ranganayakiamman Nagar. Southern Boundary of Thirumagal Nagar and RK Mill Colony Channel Junction."
51,Ward 51,West,from Thirumagal nagar Southern Boundary and R.K.Mill Colony Channel Junction towards North via Channel upto Avinashi Road Near Peelamedu Pudur
53,Ward 53,North,"from Masakkalipalayam Road North East Boundary of Thandhai Periyar Nagar and Eastern Boundary of G.V.Residency Junction towards East Funmall Road and Masakkalipalayam Road Junction towards East via Masakalipalayam road upto South Street and West Street unction to North via Ramasamy Konar Street, Masakalipalayam Road towards East via Lakshmipuram 6th street upto Kamarajar Road"
53,Ward 53,East,from Kamarajar Road and Lakshmipuram 6th Street Junction towards south via Kamarajar Road upto Northern Boundary of ESI Hospital
53,Ward 53,South,from Kamarajar Road and Northern boundary of ESI Hospital Junction towards West via Northern boundary of ESI Hospital then towards south via Gandhi nagar Road upto Varatharajapuram road towards west via Uppilipalayam Main Road Crossing Masakkalipalayam Road towards west via Uppilipalayam Road upto East Boundary of G.V.Residency and Channel Junction.
53,Ward 53,West,from Uppilipalayam Road and South east Boundary of G.V.Residency Junction towards North via Eastern Boundary of G.V.Residency upto Masakkalipalayam Road and North East Boundary of Thandhai Periyar Nagar Junction
54,Ward 54,North,Kamarajar Road Valluvar Nagar Junction to East via North Boundary of Viluvar Nagar upto Railway Track
54,Ward 54,East,from Valluvar Nagar Railway Track Jucntion towards Southeast via Railway Track upto Neelikonampalayam Railway Level Crossing
54,Ward 54,South,"from Neelikonampalayam Railway Level Crossing toward west via Neelikonampalayam Road, Sakkarai Chettiar’Road upto Kamarajar Road"
54,Ward 54,West,"from Sakkarai Chettiar Road, Kamarajar Road junction towards North upto Kamarajar Road Valluvar Nagar Junction"
55,Ward 55,North,Jaganathan Nagar South End to via Airport Compound via Bharathi east Nagar Junction crossing SIHS Colony Road ueo Kaveri nagar.
55,Ward 55,East,from Kaveri nagar to soyth via eastern Boundary of Kaveri nagar road Iowan.is west upto SIHS Colony Road junction then towards south via Nethajipuram flyover upto Trichiy Road.
55,Ward 55,South,from Trichy Road SIHS Colony Road junction towards west upto Vasantha Mill Road Neelikonampalayam Road Junction.
55,Ward 55,West,Neelikonampalayam Vasantha Mill Road Junction to north via Railway Gate upto Jaganathan Nagar South End
56,Ward 56,North,from SIHS Colony Road and Mahathma Gadhi Road Junction towards east via Mahathmagandhi Road upto North east of Lakshmi Vinayagar Nagar.
56,Ward 56,East,from MahathmaGandhinagar Road and north east end of Lakshmi Vinayaga nagar towards south via eastrn Boundry of Lakshmi Vinayaka nagar upto Sowdeshwan nagar road Junction.
56,Ward 56,South,from south east end of sowdeshwari nagar towards west via lrugur road upto Sungam then towards south via sungam ondipudhur road upto Trichy road then towards west via Trichy road upto SIHS Colony road Junction.
56,Ward 56,West,from Trichy road and SIHS Colony Road junction towards North via SIHS Colony Road upto Mahathma Gandhi Road junction.
57,Ward 57,North,from trichy Road lrugur lttery Thanneer Thottam to East upto Corporation Boundary lrugur Railway Gate Flyover Bridge
57,Ward 57,East,lrugur Bridge via Tri_chy Road to South upto Noyyal River
57,Ward 57,South,Noyyal River towards west via Northern boundary of Noyyal River upto Cheran Nagar
57,Ward 57,West,from Cheran Nagar towards North Trichy Road via upto lrugur lttery Thanneer Thottam Street
58,Ward 58,North,from Trichy Road Vasantha Mill Neelikonampalayam Junction towards East via Trichy Road upto Nesavalar Colony Trichy Road Junction
58,Ward 58,East,Nesavalar Colony Trichy Road Junction towards South via Cheran Nagar Road upto Noyyal River
58,Ward 58,South,from Cheran Nagar Road Noyyal River Junction towards West via Noyyal River upto Vellalore Bridge End upto Corporation Boundary
58,Ward 58,West,"Vellalore Road Under Bridge Corporation Boundary towards North via Vellalore Road, Anaiankadu Road upto Trichy road Vasantha Mill Neelikonampalayam Road Junction"
59,Ward 59,North,from ESI Hospital to East via Neelikonampalayam Road upto Neelikonampalayam Busstand
59,Ward 59,East,from Neelikonampalayam Bus stand towards south via VasanthaMill Road upto Trichy Road police Quarters
59,Ward 59,South,from Trichy Road Vasantha mill Road Junction towards West via Trichy Road upto Kamarajar Road Junction
59,Ward 59,West,from Kamarajar Road Trichy Road Jucntion towards North via Kamarajar Road upto ESI Hospital
60,Ward 60,North,"From Uppilipalayam road Co-operative colony Road Junction towards East via Uppilipalayam road, crossing Masakalipalayam road towards east via Varatharajapuram road upto Gandhi nagar road then towards north via Gandhi nagar road upto Northwest Boundary of ESI Hospital then towards east upto North east Boundary of ES! Hospital and Kamarajar Road Junction."
60,Ward 60,East,From Northeast Boundary of ESI Hospital and Kamarajar road Junction towards south via Eastern Boundary of Kamarajar road upto Trichy road junction.
60,Ward 60,South,From Trichy Road Kamarajar Road Junction towards West via Trichy Road upto VGM Hospital Road.
60,Ward 60,West,Trichy Road VGM Hospital road towards North upto Southern Boundary of TNHB Colony then towards west along the boundary of TNHB Colony and upto 80′ Scheme Road then towards east upto Western Boundary of Co-operative colony road then towards north upto Uppilipalyam road Co-operative colony road Junction.
61,Ward 61,North,from Trichy Road Stock Exchange towards East upto Vasantha Mill Road Junction
61,Ward 61,East,from Vasantha Mill Road Junction towards south via Anaiyankadu Road Crossing the Railway Line towards south via vellalore road upto Noyyal River
61,Ward 61,South,from Noyyal River Vellalor Road Junction towards west via North boundary of Noyyal River upto Sanganoor pallam
61,Ward 61,West,from Noyyal River towards North via Sanganoor Pallam upto Stock Exchange Trichy Road
62,Ward 62,North,"SF No.177 Part Anuparppalayam Village SF– No. 254, 253, 240, 239, 238, 192, 177, ‘244, towards East Nanjundapuram SF No 243,237,235,236.238 and 590 upto Ramanathapuram SF No.588"
62,Ward 62,East,from Trichy Road Alvernia Convent to South side of Sanganoor Pallam
62,Ward 62,South,from Noyyal river upto Saramedu
62,Ward 62,West,from Nanjundapuram road Eastern side portion upto Noyyal River
63,Ward 63,North,from Trichy Road from TS No. 2891 to Trichy Road upto D.No 949.
63,Ward 63,East,from Sanganoor Pallam and Auto Colony Junction towards South upto Trichy Road Junction
63,Ward 63,South,from Kannika Parameswari Layout Nanjundapuram Junction South Side TS No.29294 Kannika Parameswari Layout Ramalingam Layout upto South side boundary
63,Ward 63,West,West of Nachiannan Angannan Street upto Trichy road.
64,Ward 64,North,from Sowripalayam Road Sanganoor Pallam Junction to towards West via Puliyakulam Road Junction towards South West direction upto Police Kandasamy Road
64,Ward 64,East,from Sanganoor Pallam and Auto Colony Junction towards South upto Trichy Road Junction
64,Ward 64,South,from Auto Colony North towards West along with Pankaja Mill Compound wall and towards South Pankaja Mill Compound Wall upto 90 Feet Scheme Road and towards West South Side of 50 Feet Scheme Road Pankaja Mill Road Door No.1818 turn towards South Pankaja Mil.I Road Eastern Boundary upto Trichy Road
64,Ward 64,West,from Trichy Road towards North Police Kandasamy Road Puliyakulam Road Junction and Trichy Road upto Sanganoor Pallam
65,Ward 65,North,from Trichy Road 949 towards West upto Sungam Junction via Valankulam Road upto Shivaram Nagar Road Junction
65,Ward 65,East,from 100 Feet Road Ramanathapuram towards South upto Susheela Nagar
65,Ward 65,South,from Susheela Nagar towards West upto Shivaram Nagar Road
65,Ward 65,West,from Valankulam to South via Shivaram Nagar Road upto Railway track
66,Ward 66,North,from Avinashi Road Junction of Ammankulam North side to towards West upto Avinashi Road Kamarajar Road Junction
66,Ward 66,East,"from Sanganoor,Pallam towards South till Sowripalayam Junction"
66,Ward 66,South,from Junction of East boundary towards West via Gandhinagar ward office towards Trichy Road then towards West upto East Club Road Junction
66,Ward 66,West,from end of South Boundary towards North via West side of Club Road crossing Race Course till Thirugnanasambhandam Road towards East upto Kamarajar Road then towards North via Travellers Bungalow upto Avinashi Road
67,Ward 67,North,Ponne Street near Swarnambika Layout towards East upto Vivekananda road turn towards South upto Sastri Road then towards East upto Nanjappa Road then towards North up to Gandhipuram Signal then towards East via VKK Menon Road till Avarampalayam Road.
67,Ward 67,East,from RTO Office Road to North via Women’s Polytechnic till VKK Menon Road Junction.
67,Ward 67,South,from RTO Office to towards West Dr.Nanjappa Road (United Kerala Auto Mobiles) then towards South Tyre Company then towards West via Northern side till J.Kunki Raman Merchant then towards South Bus stop near Bunk towards West upto Chellappa Pillai Street via Northern side till Railway track then Railway track near TS No. 13
67,Ward 67,West,from TS No.1424 near Railway track towards North till Northern side of TS No.13
68,Ward 68,North,from Mettupalayam Road Railway Track towards South East via Sanganoor Pallam South bund till SF No.383/1/A Dr.Alagappa Road.
68,Ward 68,East,from Sanganoor Pallam SF No.383/1/A and Dr.Alagappa Chettiyar Road Junction to Soutr Dr. Alagappa Chettiyar Road via East boundary Dr. Rajendra Prasad Road then via Gandhipuram 4th Street towards South upto Ponne Street then towards _East upto Nanjappa road then to South Nanjappa road towards West till Sastri Street.
68,Ward 68,South,Dr. Nanajappa Road Sastri Street Junction towards West via Sastri road North side till railway track.
68,Ward 68,West,Coimbatore Mettupalayam Railway track SF No. 46 towards South till railway track near Sastri Street.
69,Ward 69,North,N.S Ramasamy Street (South ) Thadagam Road from Venkitapuram towards East upto Mettupalayam Road then towards North upto ARC Signal Byepass Road then towards East till Railway track.
69,Ward 69,East,Mettupalayam Railway track from Sivanandha Colony bridge to towards South till TVS Company then along Mettupalayam Road towards South till Kikani bridge.
69,Ward 69,South,"Kikani Bridge to towards West upto signal, Krishnasamy Mudaliyar road Verivada Chettiar road then towards West (Kamarajapuram Southern boundary) till Mettupalayam Road."
69,Ward 69,West,Mettupalayam Road (East side Verivada Chettiyar Road) to towards North till Bharathi Park Road Signal then towards West till GCT College Thadagam Road then towards North till Thadagam Road Venkitapuram NSR Road Junction.
70,Ward 70,North,From Mettupalayam Road Junction towards East upto Krishnaswamy Mudaliar Road then to North upto Kamarajapuram Signal then to East upto Kikani bridge.
70,Ward 70,East,From Railway Line Kikani Bridge to towards South upto Avinashi Road Bridge.
70,Ward 70,South,From Railway Track Avinashi Road Flyover to Mill Road (South) towards West.
70,Ward 70,West,From Krishnar Street to North upto Sukrawarpet Road then Sukrawarpet Road RS Puram DB Road Junction towards North upto Sundaram Street then to East upto Sundaram Street South then crossed Karanayellayar Lane towards Rangai Gounder Street then to North upto Theppakulam Junction then upto Mettupalayam Road Verivada Road Junction.
71,Ward 71,North,Starting from junction of Thadagam road and Cowly Brown road runs towards east uptoMettupalayam road.
71,Ward 71,East,Starting from the junction of Cowely Brown road and mettupalayam road and runs towards south boundary uptoSambandam road and runs towards south along the southern side of Mettupalayam road upto Ramachandra road
71,Ward 71,South,Starting from the junction of Mettupalayam road and Ramachandra road runs towards west along the north side of Ramachandra road uptoD.B.Road and then towards north and runs towards north on the western of D.B.Road uptoThiruvenkatasamy road junction Coimbatore Corporation 49 Thondamuthur 11 and west runs towards west along the southern side of Thiruvenkatasamy road and ends with junction of Thadagam road and Thiruvenkatasamy road.
71,Ward 71,West,Starting from the Southern junction of Thiruvenkatasamy road and Thadagam road runs towards north along the eastern side of Thadagam road and ends with starting point of north
72,Ward 72,North,Starts from the junction of Thiruvenkatasamy road & Thadagam road runs towards east along the south boundary of Thiruvenkatasamy road upto D.B.Road.
72,Ward 72,East,Starts from the junction of D.B.Road and Thadagam road runs towards south uptoRamachandra road then turns towards east uptoMettupalayam road then turns south runs along western side of Mettupalayam road and Range Gowder street ends with junction of Range Gowder street and ChinnaEllai lane.
72,Ward 72,South,Starts from the junction of Thadagam road and D.B.Road runs towards north through SukkaYarpet crosses Thadagam road ends with Thiruvenkatasamy road southern side.
72,Ward 72,West,Starts from the junction of Range Gowder street and ChinnaEflai lane runs towards west along the southern boundary of Sundaram street upto D.B.Road.
73,Ward 73,North,"Starting from Thadagam road – Sundapalayam road junction towards west of northern side P.M sar-ny colony, Agri collage compound and then Northern side AA scheme road uptolowley road signal."
73,Ward 73,East,Starting from Lowley road signal towards southern side thadagamroad(western side) uptoTelungu street
73,Ward 73,South,"Starting from Telungu street – Thadagam road junction towards southern side Edaiyar street, telungu street junction uptoRamakrishnapuram"
73,Ward 73,West,"Starting from Ramakrishnapuram towards western side chokkarnpudur road, Govindasamy layout, Leela apartment, Murugaiya layout, AK.Snagar, RayappapuramuptoThadagam road – Sundapalayam road junction."
74,Ward 74,North,"Starts from the northern end of Gogulam colony 4th Street (S.F.NL;mber 403) runs towards East along the northern boundary of S.F.Number 403 and turns towards north a\ong the western boundary of lndiranagarS.F.Nurnber 398 the turns towards east a long S.F.Number 459, 464, 465 Agri University fields and south side of G.C.T.CollegeuptoThadagam road (Eastern boundary) and again turns towards South runs upto junction of Bharathi Park Road and Thadagam Road. Then runs from the Junction of Bharath Park Road upto Western boundary of Home Science College campus and again turns towards south along the western boundary of Home Science College campus. Then turns towards east runs _along the northern boundary of Forest College campus upto western side of the Mettupalayam Road. from Thadagam Road Junction towards Up To TegalurRoaCtiannea"
74,Ward 74,East,"Starts from the junction of Mettupalayam road and northern bounliar)’ of Forest College campus and runs towards soulh along the western side of Mettupalayam road upto southern end of Cowly Brown road., Thadagam Road, from Maruthamalai Main road North Side, To Ambethkar Road South Side."
74,Ward 74,South,Starts from Mettupalayam road and Cowly brown Road Junction runs towards west along the southernside of Cowly Brown road upto Agriculture University eastern side boundary and turns towards south along eastern side bour.dary and turns towards south along easternside Agriculture University side CoimbatoreCorporation57 CoimbatoreNorth10 boundary uptoSundapalayam road and turns towards west and runs along south side of Sundapalayam road upto eastern side boundary of the Narasampathi tank and runs towards west along Narasampathi tank boundary. from ThadagamRoad Junction To Tegalur Junction.
74,Ward 74,West,Starts from the western end of the Narasampathi Tank bund and runs towards north from south side Panaimarathur village across. Krishampathieri and eastern side of Kanuvaipallam crossing South Side from Ambethk3r Road To Agri To MaruthaMalai Road at door Number 24 and runstowards west along southern side of Maruthamalairoadupto Western. side· of Gogularn colony then runs.
75,Ward 75,North,Starting from East side of Happy Garden and runs towards Westenside of Nalvar Nagar.
75,Ward 75,East,Starting from Marudhamalai Main Road and PerumalKoil Street junction and run towards North side upto Happy Garden.
75,Ward 75,South,Starting from West side of Kalveerampalayam junction and Runs towards East side and ends at PerumalKoil Street junction (Mouthi Hospital Road).
75,Ward 75,West,Starting at Nalvar N13gar and runs towards South side of Thondamuthur road and ends at Kalveerampalayam
78,Ward 78,North,"Starting from Ramaamoorthy road towards northen side north housing unit, towards east side chandrasekarapuram, rajarathinam garden upto selvachindhamani tank."
78,Ward 78,East,"Starting from Ramaamoorthy road towards northen side north housing unit, towards east side chandrasekarapuram, rajarathinam garden upto selvachindhamani tank."
78,Ward 78,South,Starting from Kamarajar nagar via perur main road upto Rangappa layout.
78,Ward 78,West,"Starting from Rangappa layout towards east, amul nagar, indra nagar, Aranganayagam layout, NSK street via upto Ramamoorthy road."
79,Ward 79,North,Starting from LIC colony perur main road junction towards east( south side) upto Perur main road sundakamuthur road junction.
79,Ward 79,East,"Starting from perur main road, sundakan uthur road junction towards south corporation road via upto sethuma vaikkal."
79,Ward 79,South,Starting from sethuma vaikkal via towards Vl•st upto LIC colony.
79,Ward 79,West,Starting from LIC colony Raja vaikkal towards north upto perur road junction.
80,Ward 80,North,"Starting from Krishnan Street South side first road via West side, Channel West side towards Kempetty Colony West side towards South side Govardhana Industry via West side upto Byepass Road South side."
80,Ward 80,East,Oppanakara Street (West) Vysial Veedhi Junction to Podhanur Road West Side upto Periyakulam
80,Ward 80,South,Starting from Periyakulam bund and Sundakkamuthur Byepass Road Kempetty Colony Junction towards North upto Pattakkara Ayyasamy Raod Junction then to West upto Natti Street Junction.
80,Ward 80,West,Starting from West side of Sundakkamuthur road towards North from Selvachinthamani Kulam Road Swami Iyer new street and Krishna Street Junction.
81,Ward 81,North,Starting from Sukrawarpet Road Thiyagi Kumaran Street Junction to East upto Rangai Gounder Street Junction
81,Ward 81,East,Starting from Sukrawarpet Road Rangai Gounder Street Junction to South upto Krishna Street Junction then to East upto Oppanakkara Street then via Raja Street upto Vysial Street Junction
81,Ward 81,South,Starting from Sundakkamuthur Byepass Road Ukkadam Signal to West upto Kempetty Colony Junction then to North upto Pattakkara Ayyasamy Junction then to West via Kempetty Colony 7th Street upto Natti Street then Oppanakkara Street Vysial Street Junction towards West via Southern side of Subri Street therl towards Raja Veedi Oppankkara Veedi Junction to Karuppaiya Street
81,Ward 81,West,Starting from Sundakkamuthur Byepass Road and Kempetty Colony Junction to North via Nadar Street Vairom Street Vysial Street Subri Street Raja Street Karuppaiya Street Junction to Krishnan Street upto Sukrawarpet Road
82,Ward 82,North,Starting from Rangai Gounder Street Sukrawarpet Junction to East upto Railway Track
82,Ward 82,East,Starting from Railway Track near Avinashi Road Flyover to towards South upto Ukkadam Byepass Road Bridge
82,Ward 82,South,Starting from Ukkadam Byepass Road Rialway Track to West upto Church then to West Podhanur Road Junction
